"","Country","F_Proteus_Score","F_Proteus_Score_norm","F_Fewsnet_Score","F_Fewsnet_Score_norm","F_FAO_6mFPV","F_FAO_30dFPV","F_FAO_7dFPV","F_FAO_6mFPV_norm","F_Artemis_Score","F_Artemis_Score_norm"
"80","IDN",0.377,5.23923444976077,NA,NA,5.6,0.3,0.3,2.31954582319546,NA,NA
"81","ECU",0.373,5.14354066985646,NA,NA,6.3,2.7,1.3,2.60340632603406,NA,NA
"82","PAN",0.371,5.09569377990431,NA,NA,4,-0.4,1.3,1.67072181670722,NA,NA
"83","COL",0.37,5.07177033492823,NA,NA,8.4,0.2,0.4,3.45498783454988,NA,NA
"84","VEN",0.37,5.07177033492823,NA,NA,36.6,-4.5,NA,10,NA,NA
"85","SLV",0.366,4.97607655502392,2,7,9.8,NA,NA,4.02270884022709,NA,NA
"86","GEO",0.364,4.92822966507177,NA,NA,11.1,1.4,1.1,4.54987834549878,NA,NA
"87","FJI",0.363,4.90430622009569,NA,NA,3.7,-1.2,-1.2,1.54906731549067,NA,NA
"88","BLZ",0.353,4.66507177033493,NA,NA,9.2,NA,NA,3.779399837794,NA,NA
"89","GUY",0.353,4.66507177033493,NA,NA,65.8,23.5,NA,10,NA,NA
"90","MDA",0.35,4.5933014354067,NA,NA,-2.1,-2,-0.4,0,NA,NA
"91","DOM",0.35,4.5933014354067,NA,NA,8.8,-0.3,-0.6,3.61719383617194,NA,NA
"92","TON",0.347,4.52153110047847,NA,NA,NA,NA,NA,NA,NA,NA
"93","VCT",0.345,4.47368421052632,NA,NA,21.1,14,NA,8.60502838605029,NA,NA
"94","CUB",0.339,4.33014354066986,NA,NA,5.2,3.7,NA,2.1573398215734,NA,NA
"95","AZE",0.335,4.23444976076555,NA,NA,7.3,3.8,-0.9,3.00892133008921,NA,NA
"96","JAM",0.334,4.21052631578947,NA,NA,9.7,5.5,NA,3.98215733982157,NA,NA
"97","KNA",0.326,4.01913875598086,NA,NA,14,NA,NA,5.72587185725872,NA,NA
"98","SRB",0.321,3.89952153110048,NA,NA,6.4,0.3,0.7,2.64395782643958,NA,NA
"99","PSE",0.317,3.80382775119617,NA,NA,0.3,-0.5,NA,0.170316301703163,NA,NA
"100","KGZ",0.314,3.73205741626794,NA,NA,7.1,NA,NA,2.92781832927818,NA,NA
"101","BRA",0.314,3.73205741626794,NA,NA,6.9,0.4,0.5,2.84671532846715,NA,NA
"102","MKD",0.309,3.61244019138756,NA,NA,5.2,0.5,NA,2.1573398215734,NA,NA
"103","BHS",0.308,3.58851674641148,NA,NA,4.7,0.6,NA,1.95458231954582,NA,NA
"104","THA",0.307,3.56459330143541,NA,NA,4.8,-0.5,NA,1.99513381995134,NA,NA
"105","MAR",0.304,3.49282296650718,NA,NA,0.5,0.1,0.4,0.251419302514194,NA,NA
"106","LBY",0.301,3.42105263157895,NA,NA,1.4,-0.7,NA,0.616382806163827,NA,NA
"107","CHL",0.301,3.42105263157895,NA,NA,6.7,-0.6,NA,2.76561232765612,NA,NA
"108","ALB",0.3,3.39712918660287,NA,NA,6.9,1.3,0.8,2.84671532846715,NA,NA
"109","CRI",0.3,3.39712918660287,NA,NA,2.2,-1.4,NA,0.940794809407947,NA,NA
"110","LBN",0.299,3.37320574162679,NA,NA,26.7,8.1,2.3,10,NA,NA
"111","TKM",0.295,3.27751196172249,NA,NA,9,1.4,NA,3.69829683698297,NA,NA
"112","UZB",0.294,3.25358851674641,NA,NA,12.4,1.7,NA,5.07704785077048,NA,NA
"113","BIH",0.293,3.22966507177033,NA,NA,1.8,-0.2,NA,0.778588807785889,NA,NA
"114","MEX",0.293,3.22966507177033,NA,NA,7,0.4,NA,2.88726682887267,NA,NA
"115","OMN",0.293,3.22966507177033,NA,NA,0.4,-0.2,-0.5,0.210867802108677,NA,NA
"116","WSM",0.292,3.20574162679426,NA,NA,-0.2,NA,NA,0,NA,NA
"117","URY",0.289,3.13397129186603,NA,NA,7.4,1.6,NA,3.04947283049473,NA,NA
"118","DZA",0.282,2.96650717703349,NA,NA,0.6,-0.2,-0.2,0.291970802919709,NA,NA
"119","IRN",0.282,2.96650717703349,NA,NA,4.1,-0.3,-1.2,1.71127331711273,NA,NA
"120","CHN",0.28,2.91866028708134,NA,NA,3.7,0.2,NA,1.54906731549067,NA,NA
"121","MDV",0.28,2.91866028708134,NA,NA,9.3,5.5,NA,3.81995133819951,NA,NA
"122","TTO",0.279,2.89473684210526,NA,NA,3.5,-2.6,-0.7,1.46796431467964,NA,NA
"123","PRI",0.275,2.79904306220096,NA,NA,8.9,2,NA,3.65774533657745,NA,NA
"124","ARM",0.271,2.70334928229665,NA,NA,4.7,-0.6,NA,1.95458231954582,NA,NA
"125","RUS",0.266,2.58373205741627,NA,NA,5.5,0.1,NA,2.27899432278994,NA,NA
"126","JOR",0.264,2.53588516746411,NA,NA,-4,-3.1,NA,0,NA,NA
"127","ROU",0.261,2.46411483253589,NA,NA,5.2,0.4,0.4,2.1573398215734,NA,NA
"128","BGR",0.259,2.41626794258373,NA,NA,6.9,0.6,0.3,2.84671532846715,NA,NA
"129","SAU",0.258,2.39234449760766,NA,NA,5.3,0.4,0.5,2.19789132197891,NA,NA
"130","MYS",0.256,2.3444976076555,NA,NA,5.7,-1,-0.2,2.36009732360097,NA,NA
"131","UKR",0.254,2.29665071770335,NA,NA,8,-0.2,NA,3.29278183292782,NA,NA
"132","LTU",0.253,2.27272727272727,NA,NA,6.5,2.3,-0.8,2.68450932684509,NA,NA
"133","ARG",0.253,2.27272727272727,NA,NA,19.4,1.3,1.1,7.91565287915653,NA,NA
"134","EST",0.252,2.2488038277512,NA,NA,6,NA,-0.4,2.48175182481752,NA,NA
"135","SYC",0.25,2.20095693779904,NA,NA,NA,NA,NA,NA,NA,NA
"136","JPN",0.249,2.17703349282297,NA,NA,3.2,NA,0.1,1.3463098134631,NA,NA
"137","CYP",0.247,2.12918660287081,NA,NA,7.3,-0.8,0.7,3.00892133008921,NA,NA
"138","TUN",0.244,2.05741626794258,NA,NA,5.4,-1.6,-0.4,2.23844282238443,NA,NA
"139","NZL",0.235,1.84210526315789,NA,NA,4.5,NA,0.4,1.87347931873479,NA,NA
"140","BRB",0.234,1.81818181818182,NA,NA,24.7,16.4,NA,10,NA,NA
"141","BRN",0.234,1.81818181818182,NA,NA,14.5,-0.2,3.8,5.92862935928629,NA,NA
"142","EGY",0.233,1.79425837320574,NA,NA,1.2,NA,NA,0.535279805352799,NA,NA
"143","MUS",0.233,1.79425837320574,NA,NA,24.1,-0.2,NA,9.82157339821573,NA,NA
"144","SWE",0.223,1.55502392344497,NA,NA,2.9,0.1,-0.2,1.22465531224655,NA,NA
"145","KAZ",0.211,1.26794258373206,NA,NA,12.3,1,NA,5.03649635036496,NA,NA
"146","HRV",0.209,1.2200956937799,NA,NA,21,-2.7,1.8,8.56447688564477,NA,NA
"147","MNE",0.207,1.17224880382775,NA,NA,7,-0.9,NA,2.88726682887267,NA,NA
"148","ARE",0.203,1.07655502392344,NA,NA,4.4,-1.5,-0.2,1.83292781832928,NA,NA
"149","BLR",0.201,1.02870813397129,NA,NA,15.1,2.1,NA,6.17193836171938,NA,NA
"150","LVA",0.197,0.933014354066986,NA,NA,4.3,0.9,0.4,1.79237631792376,NA,NA
"151","HUN",0.197,0.933014354066986,NA,NA,12.5,1.2,NA,5.11759935117599,NA,NA
"152","FIN",0.195,0.885167464114833,NA,NA,4.1,0.6,0.8,1.71127331711273,NA,NA
"153","AUS",0.195,0.885167464114833,NA,NA,3.2,0.5,-0.3,1.3463098134631,NA,NA
"154","SVK",0.194,0.861244019138756,NA,NA,5.6,1.1,0.7,2.31954582319546,NA,NA
"155","CAN",0.193,0.837320574162678,NA,NA,3.8,NA,0.4,1.58961881589619,NA,NA
"156","POL",0.191,0.789473684210526,NA,NA,6.5,0.9,NA,2.68450932684509,NA,NA
"157","HKG",0.188,0.717703349282296,NA,NA,6.5,0.5,2.5,2.68450932684509,NA,NA
"158","KWT",0.185,0.645933014354066,NA,NA,4.6,-1.4,3.3,1.91403081914031,NA,NA
"159","ISL",0.181,0.55023923444976,NA,NA,8,1.3,0.1,3.29278183292782,NA,NA
"160","BHR",0.18,0.526315789473683,NA,NA,0.5,-3,NA,0.251419302514194,NA,NA
"161","KOR",0.178,0.47846889952153,NA,NA,1.4,-0.8,-0.4,0.616382806163827,NA,NA
"162","TUR",0.177,0.454545454545453,NA,NA,10.3,0.9,0.1,4.22546634225466,NA,NA
"163","SVN",0.167,0.21531100478469,NA,NA,6,0.7,0.7,2.48175182481752,NA,NA
"164","USA",0.166,0.191387559808613,NA,NA,4.4,-0.2,-0.2,1.83292781832928,NA,NA
"165","GRC",0.163,0.119617224880383,NA,NA,3.2,0.3,NA,1.3463098134631,NA,NA
"166","PRT",0.158,0,NA,NA,1.9,-0.3,0.8,0.819140308191402,NA,NA
"167","MLT",0.158,0,NA,NA,3.7,-0.2,-1.2,1.54906731549067,NA,NA
"168","NLD",0.155,0,NA,NA,1.2,0.4,0.4,0.535279805352799,NA,NA
"169","ESP",0.151,0,NA,NA,5.1,0.1,NA,2.11678832116788,NA,NA
"170","NOR",0.149,0,NA,NA,5.7,0.8,NA,2.36009732360097,NA,NA
"171","CZE",0.142,0,NA,NA,5.9,-0.4,0.7,2.441200324412,NA,NA
"172","DNK",0.14,0,NA,NA,5.5,0.2,0.2,2.27899432278994,NA,NA
"173","ISR",0.129,0,NA,NA,4.5,0.9,0.4,1.87347931873479,NA,NA
"174","GBR",0.128,0,NA,NA,2.8,-0.2,0.3,1.18410381184104,NA,NA
"175","QAT",0.119,0,NA,NA,8.9,NA,-0.2,3.65774533657745,NA,NA
"176","IRL",0.119,0,NA,NA,3.8,-0.3,NA,1.58961881589619,NA,NA
"177","FRA",0.116,0,NA,NA,2.9,NA,NA,1.22465531224655,NA,NA
"178","ITA",0.113,0,NA,NA,3,-1.4,-0.3,1.26520681265207,NA,NA
"179","DEU",0.111,0,NA,NA,3.3,1,0.8,1.38686131386861,NA,NA
"180","CHE",0.105,0,NA,NA,0.8,-0.2,NA,0.373073803730739,NA,NA
"181","SGP",0.101,0,NA,NA,2.9,-0.6,-1.4,1.22465531224655,NA,NA
"182","AUT",0.097,0,NA,NA,2.2,0.2,NA,0.940794809407947,NA,NA
"183","LUX",0.091,0,NA,NA,4,-2.9,NA,1.67072181670722,NA,NA
"184","MAC",0.08,0,NA,NA,12.9,6,NA,5.27980535279805,NA,NA
"185","BEL",0.08,0,NA,NA,3.4,-1,-0.6,1.42741281427413,NA,NA
